time,emg
1742842580.1412797,247
1742842580.142333,243
1742842580.1433866,240
1742842580.1444395,236
1742842580.1454968,235
1742842580.146585,233
1742842580.1476073,229
1742842580.14866,225
1742842580.149714,222
1742842580.150767,219
1742842580.1518388,220
1742842580.152885,217
1742842580.1539392,214
1742842580.1549928,211
1742842580.1560457,207
1742842580.157099,203
1742842580.1581523,200
1742842580.1592062,197
1742842580.160259,193
1742842580.1613123,190
1742842580.1623657,187
1742842580.1634195,183
1742842580.1644723,180
1742842580.1655257,177
1742842580.166579,174
1742842580.1676326,170
1742842580.1686857,168
1742842580.169739,164
1742842580.170792,162
1742842580.171846,159
1742842580.1728985,156
1742842580.173952,154
1742842580.1750052,151
1742842580.1760585,151
1742842580.1771116,148
1742842580.178165,146
1742842580.1792178,143
1742842580.1802716,142
1742842580.1813242,139
1742842580.1823778,137
1742842580.1834316,135
1742842580.1844842,133
1742842580.1855376,131
1742842580.1865907,129
1742842580.1876414,129
1742842580.1886978,127
1742842580.1897514,124
1742842580.1908045,123
1742842580.1918583,164
1742842580.1929114,668
1742842580.1939645,931
1742842580.1950176,932
1742842580.1960711,932
1742842580.1971238,932
1742842580.1981778,932
1742842580.199231,932
1742842580.2002847,931
1742842580.2013373,933
1742842580.2023911,933
1742842580.2034447,932
1742842580.2044983,932
1742842580.2055511,932
1742842580.2066042,934
1742842580.2076576,932
1742842580.2087111,932
1742842580.2097642,932
1742842580.2108176,932
1742842580.2118707,932
1742842580.2129242,931
1742842580.213977,932
1742842580.2150302,934
1742842580.2160926,932
1742842580.2171502,931
1742842580.2182007,931
1742842580.2192533,931
1742842580.2203064,931
1742842580.22136,931
1742842580.222413,932
1742842580.2234662,931
1742842580.2245321,930
1742842580.2255728,933
1742842580.2266262,932
1742842580.2276793,932
1742842580.2287333,931
1742842580.2297864,931
1742842580.2308395,932
1742842580.2318928,932
1742842580.2329464,932
1742842580.2339997,932
1742842580.2350526,933
1742842580.2361057,932
1742842580.2371595,932
1742842580.2382126,934
1742842580.2392657,933
1742842580.240319,934
1742842580.2413726,932
1742842580.242426,932
1742842580.243479,932
1742842580.244532,932
1742842580.2455862,931
1742842580.246639,932
1742842580.247692,931
1742842580.2487452,932
1742842580.2497993,932
1742842580.2508519,932
1742842580.2519052,933
1742842580.2529585,932
1742842580.254012,932
1742842580.2550652,932
1742842580.2561183,932
1742842580.2571714,932
1742842580.2582343,931
1742842580.2592833,931
1742842580.2603354,932
1742842580.261389,931
1742842580.2624419,931
1742842580.2634983,932
1742842580.264555,929
1742842580.265605,931
1742842580.2666607,933
1742842580.2677135,933
1742842580.2687662,931
1742842580.26982,932
1742842580.270872,932
1742842580.2719247,932
1742842580.2729776,932
1742842580.2740324,932
1742842580.275085,932
1742842580.2761383,932
1742842580.2771916,932
1742842580.2782454,931
1742842580.279298,933
1742842580.2803512,932
1742842580.2814045,932
1742842580.282458,932
1742842580.2835207,931
1742842580.2845695,932
1742842580.2856224,932
1742842580.2866843,933
1742842580.2877336,931
1742842580.288786,933
1742842580.2899985,933
1742842580.2910438,931
1742842580.2920942,931
1742842580.2931468,931
1742842580.2942002,931
1742842580.2952533,931
1742842580.2963057,932
1742842580.2973585,931
1742842580.298408,931
1742842580.2994645,932
1742842580.300517,932
1742842580.3015704,933
1742842580.3026235,931
1742842580.303676,931
1742842580.3047285,931
1742842580.3057818,931
1742842580.306835,931
1742842580.3078873,931
1742842580.30894,931
1742842580.309993,932
1742842580.3110464,931
1742842580.3120987,932
1742842580.3131516,931
1742842580.3142056,931
1742842580.3152592,931
1742842580.316312,931
1742842580.3173652,931
1742842580.3184187,934
1742842580.3194723,932
1742842580.3205254,931
1742842580.3215787,919
1742842580.322632,903
1742842580.323686,883
1742842580.3247385,865
1742842580.3257923,849
1742842580.3268454,831
1742842580.3278995,813
1742842580.3289518,796
1742842580.3300052,780
1742842580.3310585,764
1742842580.332112,748
1742842580.3331652,733
1742842580.3342183,718
1742842580.3352907,704
1742842580.336325,688
1742842580.337378,672
1742842580.3384318,658
1742842580.3394854,644
1742842580.340538,630
1742842580.3415916,617
1742842580.342645,604
1742842580.3436987,591
1742842580.3447514,578
1742842580.3458052,566
1742842580.3468583,554
1742842580.3479118,542
1742842580.3489647,530
1742842580.350018,519
1742842580.3510716,508
1742842580.3521252,498
1742842580.3531778,486
1742842580.3542314,476
1742842580.3552845,465
1742842580.3563383,455
1742842580.357391,446
1742842580.3584445,437
1742842580.3594975,427
1742842580.360551,418
1742842580.3616045,409
1742842580.3626575,401
1742842580.3637106,393
1742842580.3647642,385
1742842580.3658175,377
1742842580.3668709,369
1742842580.367924,361
1742842580.3689775,354
1742842580.3700309,346
1742842580.371084,339
1742842580.3721383,332
1742842580.3731909,325
1742842580.3742435,319
1742842580.375297,312
1742842580.3763466,307
1742842580.377403,300
1742842580.3784566,294
1742842580.3795097,288
1742842580.3805635,282
1742842580.3816159,276
1742842580.382669,271
1742842580.383736,269
1742842580.3847852,265
1742842580.3858373,261
1742842580.3868904,256
1742842580.3879437,252
1742842580.3889973,247
1742842580.3900504,242
1742842580.3911035,237
1742842580.3921566,233
1742842580.3932106,229
1742842580.3942633,225
1742842580.3953164,220
1742842580.3963697,216
1742842580.3974235,212
1742842580.3984764,208
1742842580.4001393,204
1742842580.40119,201
1742842580.402244,197
1742842580.403297,194
1742842580.4043503,190
1742842580.4054039,187
1742842580.4064572,183
1742842580.40751,181
1742842580.4085634,179
1742842580.4096174,176
1742842580.4106703,174
1742842580.4117236,171
1742842580.4127767,168
1742842580.4138308,166
1742842580.4148834,162
1742842580.4159365,159
1742842580.4169898,157
1742842580.4180434,155
1742842580.4190962,152
1742842580.4201496,149
1742842580.4212024,147
1742842580.4222565,145
1742842580.4233088,142
1742842580.4243622,140
1742842580.425416,156
1742842580.4264693,582
1742842580.4275217,932
1742842580.428575,934
1742842580.429649,931
1742842580.4306812,932
